//	Liosta Minicíochta Focal Gaeilge | Irish Word Frequency List
//  A corpus-based, cleaned-up frequency list of Irish lemmas.
//  Created by Michal Boleslav Měchura, http://www.lexiconista.com/
//	Available under the Open Database License, http://opendatacommons.org/licenses/odbl/summary/
//  Date stamp: 2015-03-10
//  Format: rank [tab] lemma [tab] corpus frequency [tab] window size [new line]
//	For an explanation of what the columns mean, visit http://www.lexiconista.com/datasets/frequency-ga/

1	an	1338874	25
2	bí	1194301	28
3	ar	898707	38
4	agus	856233	40
5	is	678055	50
6	ag	673684	51
7	le	663052	51
8	na	660024	52
9	do	526579	65
10	go	458180	74
11	de	304296	112
12	sé	295900	116
13	sin	243901	140
14	ó	240522	142
15	é	212565	161
16	seo	186776	183
17	cuir	181783	189
18	mar	181317	189
19	ach	174944	196
20	déan	169196	203
21	faoi	150173	228
22	nó	142220	241
23	duine	139569	246
24	tabhair	123139	279
25	féin	114602	299
26	ní	104620	328
27	aon	100018	343
28	as	98622	348
29	chun	96082	357
30	eile	94831	362
31	abair	94140	364
32	mé	91318	376
33	tar	91096	377
34	cuid	87857	391
35	maith	87286	393
36	faigh	86973	395
37	sí	81913	419
38	ná	79199	433
39	bliain	75787	453
40	siad	75348	455
41	téigh	74714	459
42	nuair	73679	466
43	iad	67270	510
44	amach	63887	537
45	mo	63778	538
46	cé	62903	546
47	nach	61995	554
48	bain	60640	566
49	ceann	58819	584
50	gach	55191	622
51	tú	54337	632
52	rud	54179	634
53	í	53027	647
54	caith	52901	649
55	Gaeilge	52339	656
56	trí	52004	660
57	gan	51455	667
58	féidir	50408	681
59	lá	48892	702
60	chomh	47797	718
61	fear	45850	749
62	isteach	45573	753
63	fad	45242	759
64	áit	44613	770
65	beag	44314	775
66	am	43223	794
67	chuig	41165	834
68	Éire	41141	835
69	obair	41108	835
70	céad	40394	850
71	amháin	40383	850
72	taobh	39944	860
73	anois	39654	866
74	céile	38960	881
75	mac	38875	883
76	feic	38852	884
77	níos	38529	891
78	má	37692	911
79	teach	37246	922
80	ceart	36986	928
81	gur	36788	933
82	idir	36440	942
83	scéal	35691	962
84	tír	35130	978
85	saol	34478	996
86	bith	34266	1002
87	roimh	33297	1031
88	féad	32801	1047
89	ceist	32045	1072
90	ansin	31686	1084
91	deireadh	30577	1123
92	bean	29714	1156
93	dóigh	29194	1176
94	dá	28842	1191
95	fios	28504	1205
96	uair	28084	1223
97	alt	27940	1229
98	te	27935	1229
99	pobal	27643	1242
100	comhairle	26702	1286
101	éirigh	26648	1289
102	I	26562	1293
103	aghaidh	25884	1327
104	céanna	25607	1341
105	arsa	24844	1382
106	súil	24804	1385
107	scoil	24328	1412
108	síos	24248	1416
109	fág	24073	1427
110	nua	23826	1442
111	glac	23487	1462
112	roinn	23302	1474
113	arís	23249	1477
114	maidir	23185	1481
115	teanga	22658	1516
116	cás	22609	1519
117	úsáid	22408	1533
118	leith	22402	1533
119	iarr	22310	1540
120	tóg	22263	1543
121	óg	22201	1547
122	níor	21943	1565
123	anseo	21747	1579
124	thar	21741	1580
125	tuig	21318	1611
126	oíche	21280	1614
127	aire	21094	1628
128	baile	20968	1638
129	cad	20675	1661
130	lucht	20578	1669
131	cúrsa	20570	1670
132	eolas	20451	1680
133	imigh	20379	1685
134	méid	20201	1700
135	leor	20182	1702
136	lean	20142	1705
137	fada	19749	1739
138	caint	19700	1744
139	leabhar	19448	1766
140	scríobh	19367	1774
141	acht	19367	1774
142	seachtain	19340	1776
143	feidhm	19266	1783
144	lámh	19232	1786
145	ceap	19170	1792
146	tarlaigh	18832	1824
147	ais	18767	1830
148	mí	18655	1841
149	léir	18331	1874
150	áirigh	18246	1883
151	ábhar	18180	1889
152	féach	18134	1894
153	bealach	18026	1906
154	ard	17888	1920
155	páiste	17800	1930
156	muintir	17616	1950
157	airgead	17565	1956
158	béal	17516	1961
159	freisin	17391	1975
160	bord	17242	1992
161	rialtas	17068	2013
162	uile	16985	2022
163	siúil	16973	2024
164	bunaigh	16799	2045
165	gabh	16740	2052
166	diaidh	16713	2055
167	stát	16678	2060
168	ainm	16634	2065
169	suas	16591	2070
170	athair	16474	2085
171	dia	16453	2088
172	fós	16267	2112
173	ár	16245	2115
174	ea	16122	2131
175	seirbhís	16012	2145
176	éigin	15903	2160
177	clár	15899	2161
178	talamh	15890	2162
179	buail	15819	2171
180	riamh	15742	2182
181	muid	15674	2192
182	focal	15618	2199
183	tús	15570	2206
184	mise	15445	2224
185	beirt	15355	2237
186	fiú	15245	2253
187	linn	15154	2267
188	fan	15095	2276
189	dar	15095	2276
190	contae	15046	2283
191	foireann	14993	2291
192	meas	14984	2292
193	measc	14818	2318
194	leag	14740	2330
195	bóthar	14670	2342
196	labhair	14610	2351
197	clois	14603	2352
198	cónaí	14567	2358
199	ceol	14513	2367
200	bás	14453	2377
201	cur	14433	2380
202	nár	14369	2391
203	tosaigh	14277	2406
204	ceantar	14238	2413
205	údarás	14229	2414
206	léirigh	14216	2416
207	gá	14161	2426
208	thart	14077	2440
209	minic	14063	2443
210	cluiche	13749	2498
211	anuas	13606	2525
212	iomlán	13560	2533
213	Seán	13474	2549
214	cóir	13454	2553
215	conradh	13452	2554
216	ionad	13269	2589
217	uisce	13126	2617
218	díreach	13115	2619
219	geall	12774	2689
220	oileán	12767	2691
221	cinn	12704	2704
222	leithéid	12664	2713
223	cuma	12657	2714
224	cúpla	12545	2738
225	oideachas	12527	2742
226	beir	12517	2744
227	mol	12332	2786
228	aois	12312	2790
229	cineál	12193	2817
230	inis	12079	2844
231	oiread	12079	2844
232	líon	12028	2856
233	páirtí	12023	2857
234	ball	11963	2872
235	lán	11932	2879
236	siar	11771	2918
237	cúirt	11759	2921
238	cathair	11713	2933
239	máthair	11598	2962
240	náisiúnta	11591	2964
241	sampla	11560	2972
242	lig	11543	2976
243	doras	11541	2977
244	uí	11528	2980
245	oifig	11516	2983
246	timpeall	11471	2995
247	tarraing	11374	3020
248	bun	11353	3026
249	cos	11233	3058
250	éagsúil	11202	3067
251	dún	11182	3072
252	cáin	11112	3091
253	córas	11092	3097
254	istigh	11077	3101
255	forbair	11067	3104
256	post	11025	3116
257	airteagal	11007	3121
258	croí	11003	3122
259	mórán	10956	3136
260	rith	10892	3154
261	seisean	10844	3168
262	seas	10749	3196
263	barr	10726	3203
264	dáil	10695	3212
265	siúd	10689	3214
266	tréimhse	10658	3223
267	imeacht	10540	3259
268	sásta	10418	3297
269	breá	10400	3303
270	amuigh	10351	3319
271	cúis	10333	3325
272	réir	10316	3330
273	deis	10310	3332
274	áirithe	10299	3336
275	áitiúil	10279	3342
276	saothar	10269	3345
277	coiste	10221	3361
278	aimsir	10052	3418
279	maidin	10048	3419
280	toradh	10015	3430
281	inniu	9941	3456
282	suigh	9905	3468
283	breis	9889	3474
284	each	9888	3474
285	fuil	9869	3481
286	tosach	9807	3503
287	tuairim	9779	3513
288	béarla	9752	3523
289	láthair	9745	3525
290	ealaín	9745	3525
291	comhlacht	9744	3526
292	domhan	9710	3538
293	coinnigh	9692	3545
294	tit	9685	3547
295	dán	9679	3549
296	caoi	9678	3550
297	mura	9645	3562
298	meán	9643	3563
299	tí	9586	3584
300	sráid	9566	3591
301	gnó	9562	3593
302	deir	9475	3626
303	tamall	9465	3630
304	Máire	9428	3644
305	fíor	9426	3645
306	seol	9412	3650
307	cheana	9397	3656
308	iarratas	9363	3669
309	caill	9355	3672
310	múinteoir	9303	3693
311	Gaillimh	9279	3702
312	cara	9276	3703
313	seomra	9273	3705
314	breathnaigh	9193	3737
315	gearr	9189	3739
316	cosúil	9171	3746
317	luaigh	9146	3756
318	dlí	9043	3799
319	iarracht	9032	3804
320	cúig	9013	3812
321	nós	9008	3814
322	sula	8982	3825
323	áfach	8980	3826
324	míle	8939	3843
325	rí	8926	3849
326	slí	8916	3853
327	úd	8911	3855
328	saor	8911	3855
329	foilsigh	8889	3865
330	ann	8880	3869
331	creid	8876	3870
332	luath	8835	3888
333	deas	8834	3889
334	fás	8773	3916
335	iúl	8773	3916
336	síl	8768	3918
337	grúpa	8729	3936
338	coláiste	8726	3937
